자치구,행정동,전이확률,1위원인,1위SHAP,2위원인,2위SHAP,3위원인,3위SHAP
강서구,방화3동,0.0091,최근인프라,-0.6099,고립수준(외출↓),0.5816,이동수준,-0.2801
구로구,신도림동,0.0089,최근인프라,-0.7172,고립수준(외출↓),0.6674,이동수준,-0.3897
강서구,화곡1동,0.0089,독거비율,-0.4085,고립수준(외출↓),-0.2993,최근인프라,0.2905
강서구,우장산동,0.0089,최근인프라,-0.9148,인프라밀도,-0.4433,고립변화(22→23),0.3937
구로구,구로1동,0.0088,최근인프라,-0.6751,인프라밀도,-0.3929,고립수준(외출↓),-0.3617
구로구,구로3동,0.0087,고립수준(외출↓),-0.318,독거비율,-0.268,이동수준,-0.2634
구로구,구로5동,0.0086,최근인프라,-0.7456,이동수준,-0.4212,인프라밀도,-0.3607
구로구,구로4동,0.0086,최근인프라,-0.6695,인프라밀도,-0.3963,배달변화(22→23),0.2989
구로구,고척2동,0.0085,최근인프라,-0.6115,고립수준(외출↓),0.5272,인프라밀도,-0.3011
구로구,개봉2동,0.0085,최근인프라,-0.6072,고립수준(외출↓),0.4121,인프라밀도,-0.2941
구로구,고척1동,0.0085,최근인프라,-0.7235,인프라밀도,-0.445,독거변화(22→23),0.3314
구로구,개봉3동,0.0084,최근인프라,-0.8508,인프라밀도,-0.4621,독거비율,0.175
구로구,오류1동,0.0083,최근인프라,-0.7191,인프라밀도,-0.3874,고립수준(외출↓),0.2513
구로구,오류2동,0.0082,최근인프라,-0.6195,인프라밀도,-0.3883,독거변화(22→23),0.365
구로구,수궁동,0.0082,최근인프라,-0.709,인프라밀도,-0.3938,고립수준(외출↓),-0.3342
구로구,가리봉동,0.0079,최근인프라,-0.8458,고립변화(22→23),0.5319,인프라밀도,-0.4646
구로구,구로2동,0.0079,최근인프라,-0.697,고립수준(외출↓),-0.3929,인프라밀도,-0.3766
구로구,개봉1동,0.0076,최근인프라,-0.6508,고립수준(외출↓),-0.3606,인프라밀도,-0.3413
금천구,가산동,0.0076,최근인프라,-0.7564,고립변화(22→23),0.4122,인프라밀도,-0.3937
금천구,독산1동,0.0075,최근인프라,-0.669,인프라밀도,-0.3768,고립수준(외출↓),-0.3101
금천구,독산3동,0.0073,최근인프라,-0.7783,인프라밀도,-0.4151,배달변화(22→23),0.2981
금천구,독산4동,0.0073,최근인프라,-0.7516,인프라밀도,-0.4327,이동수준,-0.2995
금천구,독산2동,0.0073,최근인프라,-0.6456,인프라밀도,-0.3708,고립수준(외출↓),-0.3303
금천구,시흥1동,0.0071,최근인프라,-0.7854,인프라밀도,-0.4299,이동수준,-0.269
금천구,시흥2동,0.0071,최근인프라,-0.7891,인프라밀도,-0.477,고립변화(22→23),-0.1357
금천구,시흥4동,0.0069,최근인프라,-0.6393,인구규모,-0.4618,고립수준(외출↓),-0.3806
금천구,시흥5동,0.0069,최근인프라,-0.8095,인프라밀도,-0.432,고립수준(외출↓),-0.2811
영등포구,여의동,0.0068,최근인프라,-0.682,인프라밀도,-0.3516,이동수준,-0.2455
영등포구,당산1동,0.0067,최근인프라,-0.6468,인프라밀도,-0.3651,이동수준,-0.291
영등포구,당산2동,0.0066,최근인프라,-0.6401,인프라밀도,-0.3572,이동수준,-0.3139
영등포구,양평2동,0.0064,최근인프라,-0.7424,인프라밀도,-0.4204,고립변화(22→23),-0.1281
영등포구,신길1동,0.0063,최근인프라,-0.7187,인프라밀도,-0.418,고립수준(외출↓),-0.3221
영등포구,신길3동,0.0063,최근인프라,-0.7119,인프라밀도,-0.4124,고립수준(외출↓),-0.2775
영등포구,신길4동,0.0062,최근인프라,-0.7618,인구규모,-0.5606,고립변화(22→23),0.4294
영등포구,신길5동,0.0062,최근인프라,-0.6952,고립수준(외출↓),-0.4072,인프라밀도,-0.3861
영등포구,신길6동,0.0061,최근인프라,-0.6218,인구규모,-0.4065,고립수준(외출↓),-0.4063
영등포구,신길7동,0.006,최근인프라,-0.6706,인프라밀도,-0.4086,이동수준,-0.2815
영등포구,대림1동,0.006,독거비율,-0.3633,고립수준(외출↓),-0.3232,고립변화(22→23),-0.3076
영등포구,대림2동,0.006,최근인프라,-0.8999,인프라밀도,-0.4542,이동수준,-0.2749
영등포구,대림3동,0.0059,최근인프라,-0.6935,인프라밀도,-0.4231,고립수준(외출↓),-0.2957
영등포구,영등포본동,0.0059,최근인프라,-0.7839,인프라밀도,-0.4099,고립수준(외출↓),-0.3184
영등포구,영등포동,0.0058,최근인프라,-0.8117,인프라밀도,-0.4436,이동수준,-0.2538
영등포구,도림동,0.0058,최근인프라,-0.7111,인프라밀도,-0.4029,고립수준(외출↓),-0.3757
