행정동,자치구,행정동코드,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,infra_slope,infra_delta,infra_recent,전이확률
세곡동,강남구,1123076,-0.24928455210436734,-0.37734569211809293,-0.03416492062187152,-0.12818216925392226,-0.3937462728228312,0.2848030428211148,0.41221863084774024,0.022713553451135952,0.01125906886438742,0.040296405008881916,0.01942841506205038,-0.10210696701747823,-0.7564203454079398,0.0076
화곡2동,강서구,1116057,-0.31011168004391204,-0.021382465322550007,0.004465996592774076,0.13656311061012075,-0.3767990762362034,-0.11332613599605772,-0.11953794516146522,0.05627855592357209,0.20804832552433278,-0.04869603155102497,-0.02831898102170591,0.023671763457064465,-0.6689901261686442,0.0075
신길1동,영등포구,1119063,-0.3303115650578795,0.1636945636596676,0.01646560807591664,0.1308552182442952,-0.37076174481660185,0.022744042192190537,-0.1752079246486179,-0.0828126541365721,-0.043732469771032005,0.027355616764248206,-0.0008050857866498228,0.0026887504375284867,-0.6455514471536437,0.0073
이문2동,동대문구,1106090,-0.269169983358524,0.00904473516065219,0.0013278260020319226,0.17004300258983895,-0.4151353908685305,-0.06320570628169425,-0.12385757722913815,0.006716854080339233,0.29810960380382834,-0.10582869932424191,-0.02831898102170591,0.013359402023201366,-0.7782836212568549,0.0073
홍은2동,서대문구,1113068,-0.29241921534212484,-0.29950511364823734,0.02861255812762538,0.0746676195279854,-0.43273581710269304,0.1503981447924196,-0.19595043081445268,0.055568074980608284,0.2682140685087681,0.0669206269908174,0.026353885545971064,0.0226331068281761,-0.7515640822088869,0.0073
성현동,관악구,1121079,0.15190773567580934,-0.2690316097712531,-0.047796907816321024,0.05738838885770749,-0.4299370049020509,0.22621164311977882,-0.11744179283768047,0.05627855592357209,-0.017826800812830685,-0.09542357390853695,-0.03623759242567721,-0.006410098826819301,-0.7853622212829108,0.0071
상계5동,노원구,1111069,-0.01000090278002049,-0.04036018208686216,-0.06984481935385549,0.016231591482152745,-0.4769710059008737,0.02513906085364834,-0.13565692614567285,-0.0012515896476902738,0.055141572119894004,0.09332103785175781,-0.0015578293421290898,0.01766590523797971,-0.7891273763656392,0.0071
염리동,마포구,1114061,-0.3805664935259715,-0.025442840986034988,0.16147491500544223,0.054652950855591104,-0.36914682119218684,-0.4618459193079839,-0.023380719327193874,0.049977848812678645,-0.003099779835429987,0.34909335009758696,0.0167541303860414,-0.06426974400255504,-0.6393277869974363,0.0069
상도3동,동작구,1120055,-0.2810808309235011,0.00998627579151285,0.017471608558632588,0.04471301305273925,-0.43195523247909673,-0.0687154975484581,0.01908440537012742,0.05627855592357209,-0.02358979556850495,0.120952782708474,-0.03702858396966265,0.03772809409680587,-0.8094830930113016,0.0069
방화2동,강서구,1116071,0.06534922483613982,-0.24551988070123412,-0.03588352048785184,0.19360079271500508,-0.351599472668772,0.03448612854984391,-0.11938081299117757,-0.056831443462431415,-0.036517024006481144,-0.14142983134726617,-0.01593152218254945,0.028379477865369703,-0.6820086213205568,0.0068
신도림동,구로구,1117051,0.2856522412423286,-0.29103082774218464,-0.05704069246052023,-0.20520766683371128,-0.36507240982253,0.22137293709016714,-0.15696240718191865,0.0416319799822054,-0.0462294513392253,-0.17762192246995434,0.034462747951408426,-0.0023588037423378644,-0.6468281878702243,0.0067
상일동,강동구,1125052,-0.2732750990947571,-0.3139064046813755,-0.013828059502922707,-0.2053800478614693,-0.3572070885653231,0.23563607026517028,-0.10631625152068744,0.022003072508172142,0.15840949534316037,0.07736466078506742,0.03835021803074183,-0.004998289556151185,-0.6400531262774555,0.0066
월곡2동,성북구,1108072,0.012736816493547696,-0.03941553751048205,-0.06955203631794811,0.047762167998581156,-0.42044304330286475,-0.12233842355050191,-0.1281307402100275,-6.379490226654516e-05,-0.02358979556850495,0.09649858112690012,-0.03531611816183087,0.004090599268140474,-0.7424120482342212,0.0064
면목4동,중랑구,1107054,-0.322051147694599,-0.019706241788498363,0.045239536368420874,0.1350104423037403,-0.41804660548480227,-0.07115476509434901,-0.136157563388568,0.05115825058296232,-0.07247278917594749,0.08595550657757557,-0.014214105597910365,0.015230090099198458,-0.7187167713154977,0.0063
고척1동,구로구,1117061,-0.2775044161847662,-0.27572068600317584,-0.03727936918037922,-0.14948896870261816,-0.4124354323757672,0.17259503386117694,-0.09371255057371254,0.04997329184113902,0.05997741451371783,0.22076866422841182,0.042238824420731555,-0.014110550532192625,-0.7119410961925272,0.0063
정릉3동,성북구,1108064,-0.40795817534877676,0.06521004386233678,0.16401054079326557,-0.10587240110670365,-0.38624770874583514,-0.5605874066565495,0.42937728240645767,0.04367258473024558,0.08964249314595932,0.06477865174847325,-0.004240180676831348,-0.08093003376580753,-0.76175873315817,0.0062
쌍문3동,도봉구,1110053,-0.40722249137690947,-0.0026131931966552804,0.16631634518413818,0.12745780508828575,-0.38610203826217454,-0.1499205890800852,-0.15958877473316943,0.050447769639998516,-0.0009980667279813006,0.011696979711810182,0.005980818928899629,-0.007655269915007234,-0.6952074678451421,0.0062
수서동,강남구,1123075,-0.4062655394495933,0.0026656995980745713,0.18521240021233062,0.27227160914430626,-0.3170356892829941,-0.40653775729390673,-0.10175749563673894,-0.07355301300403506,-0.04701097872397559,0.011630413795960942,0.010894103707917173,0.020717497133100476,-0.621819174174883,0.0061
창5동,도봉구,1110063,-0.019643683131636915,-0.2815153773983501,-0.04103015648251611,-0.17846854908430373,-0.40858140893055617,0.0792750725360563,-0.0726209627910959,0.051161086586562765,-0.022288011337316074,0.08629859471251629,0.006159492091558339,-0.01405082123785093,-0.6706226244671538,0.006
잠실6동,송파구,1124077,-0.323225671882906,-0.2904131318485337,0.019951820431052435,-0.36327735434319575,-0.09012110791481986,-0.21812538513259552,-0.30763830191308267,0.03657936870578024,0.11169723936171529,-0.08009672068357077,-0.01433173357320183,0.025672663318218263,0.00842801344496196,0.006
신사1동,은평구,1112065,0.13378359817426708,-0.27494943522727233,-0.06932372636847996,0.13846952935164863,-0.45415568305115395,0.03304996936531834,-0.08992307580462942,0.05509076117814836,0.06335671258352524,-0.08257387782092154,-0.028499636938687175,-0.006309094938206834,-0.8999030304344878,0.006
잠실3동,송파구,1124080,-0.2957305471766508,-0.28708684959942193,-0.03431525508014406,-0.20267041545351766,-0.4230716307182485,0.21990596268390827,0.01182986489214146,0.04997329184113902,0.061234616809950036,0.10326465177347909,-0.037507675924349095,0.029049663911150332,-0.6935468911071815,0.0059
왕십리2동,성동구,1104052,-0.3184207887706968,0.07315818488268891,0.04323495905880335,0.1757734229573594,-0.40988575591843757,-0.1697078870140793,-0.12784159054897257,0.011945318003422637,-0.034438204740296276,0.06250213128499034,-0.009760922796141873,-0.013626597275530197,-0.7839009598647496,0.0059
구의2동,광진구,1105061,0.002556131168021108,-0.25383529923372117,-0.052863869006545966,0.08344194713826077,-0.4436309524765353,0.029120140314223917,-0.15762586483001073,0.050447769639998516,-0.018908713267508672,0.07231033511695024,-0.026435143980892233,0.0029608197940791175,-0.8117024278390018,0.0058
금호2·3가동,성동구,1104072,-0.37566066593324,-0.1507474224620989,0.15057076487219445,-0.1482056696036431,-0.4029438485298869,-0.1416577786368391,0.1727787115749239,0.044852986500529254,0.043545929718752686,-0.09932632419930285,0.03470188515664302,0.06189669708456076,-0.7110662508915195,0.0058
도봉2동,도봉구,1110065,-0.2644073473862275,-0.30110050671754746,-0.001322115695627802,0.13672356141051648,-0.47141625586655356,0.18104648719257146,-0.11950577070043737,0.05438028023518454,0.06209951028729304,0.08335249679605776,0.02921054923927492,-0.012536438068477845,-0.892493969568939,0.0058
번2동,강북구,1109061,-0.36366042616382377,0.006380705400782815,0.1768249100406755,0.037756620333357076,-0.43332937387697396,-0.1351904384025253,-0.1022179473147521,0.1279521288547143,0.055161886476127485,-0.1138242640416412,-0.009356191070566386,-0.01117619129235035,-0.7733764463756885,0.0057
신내2동,중랑구,1107070,-0.28104351007625117,-0.2501121052790868,-0.04273324033300375,0.05157483505936418,-0.4557206547360957,0.026633459198541334,0.05467144104843469,0.05509076117814836,0.060676276912064286,0.1020427825329049,0.06139681047150723,-0.09972365141840689,-0.834498481662509,0.0056
