행정동코드,자치구,행정동,adm_cd8,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,adm_cd8_str,infra_slope,infra_delta,infra_recent,dep_2022,dep_2023,dep_2024,dep_2025,dep_slope_annual,label_slope,label_entry
1104066,성동구,성수1가2동,11200660,17.13582486452052,23.651666666666667,1.4844444444444442,0.11203285471158544,1015.3125,1831.3985416666667,0.34390582651452206,-9.216666666666669,-0.09277777777777785,-0.0010980214854367926,11200660,9.060294117647059,111.75,1045.0,51.7,61.2,54.7,51.6,-0.6800000000000004,0,0.0
1104067,성동구,성수2가1동,11200670,22.001764166735065,21.905833333333334,1.5076388888888888,0.2080952820035667,778.1875,2597.3904166666666,-3.4113061112479137,-8.307222222222222,-0.13916666666666688,0.003265292277671833,11200670,1.4779411764705883,18.5,778.0,60.8,66.5,53.4,57.7,-2.2399999999999984,0,0.0
1104068,성동구,성수2가3동,11200690,14.049244493858694,22.60152777777778,1.5076388888888888,0.1338885399818855,1224.25,1554.1641666666667,4.128733234504834,-8.670833333333334,0.04638888888888881,-0.007944340489181745,11200690,4.938235294117647,58.0,1243.0,53.0,65.0,52.3,,-0.3500000000000014,0,
1104069,성동구,송정동,11200720,10.46868936385108,22.367083333333333,0.788611111111111,0.2453528126438871,201.1875,1608.1766666666665,-0.13348983881326681,-7.525277777777777,0.18555555555555547,0.0008446233862226538,11200720,0.3926470588235294,4.5,195.0,33.2,44.5,41.3,42.7,2.53,1,0.0
1104070,성동구,용답동,11200790,13.0769538704659,23.61875,1.3916666666666666,0.21822725804480386,448.9375,2178.7066666666665,0.8033144812904247,-9.0775,0.37111111111111117,0.00463142828110269,11200790,-1.6397058823529411,-20.25,429.0,44.4,60.4,51.4,49.0,0.4800000000000004,0,0.0
1104071,성동구,왕십리도선동,11200535,15.372431539900866,24.41847222222222,1.4844444444444445,0.11280416240932248,939.6875,2578.4372916666666,1.464025809087154,-9.230277777777783,-0.1855555555555557,-0.007788943553653546,11200535,-4.057352941176471,-41.25,874.0,50.6,58.7,56.4,54.7,1.0,0,0.0
1104072,성동구,금호2·3가동,11200615,14.161548361422025,25.724444444444444,0.9045833333333333,0.08261618174237402,474.8125,2199.147916666667,3.535236610489287,-9.99666666666667,0.2319444444444443,-0.00285203344758736,11200615,-1.8455882352941178,-23.75,445.0,29.7,45.6,40.9,41.5,3.07,1,0.0
1104073,성동구,옥수동,11200645,10.2255852428059,27.885416666666664,1.6468055555555554,0.08943048194539782,390.3125,2339.6370833333335,1.69494062549931,-11.151944444444439,0.046388888888889035,-0.001099286695080956,11200645,-2.0191176470588235,-26.25,361.0,36.4,50.0,39.9,39.9,0.039999999999999855,0,0.0
1105053,광진구,화양동,11215710,15.35338321467508,23.746111111111112,1.368472222222222,0.23761161089987815,1430.25,1829.9066666666668,-0.6995442071279374,-9.544444444444448,0.2319444444444445,0.005568050713637668,11215710,2.726470588235294,33.25,1435.0,55.3,69.3,65.2,65.1,2.53,1,1.0
1105054,광진구,군자동,11215730,20.697881247356698,23.18125,1.0901388888888888,0.1997136721444171,726.125,2206.764791666667,-1.9157624947133982,-8.834722222222222,0.13916666666666688,0.0008667389261909075,11215730,-4.161764705882353,-47.75,688.0,49.3,60.4,55.9,56.2,1.6200000000000017,1,1.0
1105055,광진구,중곡1동,11215740,15.61195733974835,23.297083333333333,0.997361111111111,0.19419949878516415,641.3125,1802.7941666666666,0.8399742093921887,-9.036388888888894,-0.04638888888888881,-0.0017547432773333815,11215740,-0.8897058823529411,-11.75,617.0,44.8,54.5,54.5,54.9,3.0300000000000002,1,0.0
