d_admdong_cd,gu_nm,dong_nm,dong_full
11710610,송파구,삼전동,서울특별시 송파구 삼전동
11710620,송파구,가락본동,서울특별시 송파구 가락본동
11710631,송파구,가락1동,서울특별시 송파구 가락1동
11710632,송파구,가락2동,서울특별시 송파구 가락2동
11710641,송파구,문정1동,서울특별시 송파구 문정1동
11710642,송파구,문정2동,서울특별시 송파구 문정2동
11710650,송파구,잠실본동,서울특별시 송파구 잠실본동
11710690,송파구,잠실4동,서울특별시 송파구 잠실4동
11710710,송파구,잠실6동,서울특별시 송파구 잠실6동
11710720,송파구,잠실7동,서울특별시 송파구 잠실7동
11710670,송파구,잠실2동,서울특별시 송파구 잠실2동
11710680,송파구,잠실3동,서울특별시 송파구 잠실3동
11710646,송파구,장지동,서울특별시 송파구 장지동
11710647,송파구,위례동,서울특별시 송파구 위례동
11740526,강동구,상일제2동,서울특별시 강동구 상일제2동
11740525,강동구,상일제1동,서울특별시 강동구 상일제1동
11740530,강동구,명일1동,서울특별시 강동구 명일1동
11740540,강동구,명일2동,서울특별시 강동구 명일2동
11740550,강동구,고덕1동,서울특별시 강동구 고덕1동
11740560,강동구,고덕2동,서울특별시 강동구 고덕2동
11740580,강동구,암사2동,서울특별시 강동구 암사2동
11740590,강동구,암사3동,서울특별시 강동구 암사3동
11740600,강동구,천호1동,서울특별시 강동구 천호1동
11740620,강동구,천호3동,서울특별시 강동구 천호3동
11740640,강동구,성내1동,서울특별시 강동구 성내1동
11740650,강동구,성내2동,서울특별시 강동구 성내2동
11740660,강동구,성내3동,서울특별시 강동구 성내3동
11740690,강동구,둔촌1동,서울특별시 강동구 둔촌1동
11740700,강동구,둔촌2동,서울특별시 강동구 둔촌2동
11740570,강동구,암사1동,서울특별시 강동구 암사1동
11740610,강동구,천호2동,서울특별시 강동구 천호2동
11740685,강동구,길동,서울특별시 강동구 길동
11530780,구로구,오류2동,서울특별시 구로구 오류2동
11740515,강동구,강일동,서울특별시 강동구 강일동
11230533,동대문구,용두동,서울특별시 동대문구 용두동
